PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
Kareem Abdul-Jabbar,"1,560",57446,38387,15837,28307,55.9,1,18,5.6,6712,9304,72.1,2975,9394,17440,5660,1160,3189,2527,55.9,59.2
Karl Malone,"1,476",54852,36928,13528,26210,51.6,85,310,27.4,9787,13188,74.2,3562,11406,14968,5248,2085,1145,4524,51.8,57.7
Dirk Nowitzki,"1,522",51367,31560,11169,23734,47.1,1982,5210,38,7240,8239,87.9,1468,10021,11489,3651,1210,1281,2494,51.2,57.7
Kevin Garnett,"1,462",50412,26071,10505,21142,49.7,174,632,27.5,4887,6190,78.9,3209,11453,14662,5445,1859,2037,3179,50.1,54.6
Jason Kidd,"1,391",50116,17529,6219,15557,40,1988,5701,34.9,3103,3954,78.5,1768,6957,8725,12091,2684,450,4003,46.4,50.7
LeBron James,"1,310",50054,35367,12903,25604,50.4,1979,5738,34.5,7582,10337,73.3,1538,8213,9751,9696,2063,982,4592,54.3,58.6
Elvin Hayes,"1,303",50000,27313,10976,24272,45.2,5,34,14.7,5356,7999,67,2778,6973,16279,2398,864,1771,1358,45.2,49.1
Kobe Bryant,"1,346",48643,33643,11719,26200,44.7,1827,5546,32.9,8378,10011,83.7,1499,5548,7047,6306,1944,640,4010,48.2,55
Wilt Chamberlain,"1,045",47859,31419,12681,23497,54,-,-,-,6057,11862,51.1,-,-,23924,4643,-,-,-,54,54.7
John Stockton,"1,504",47766,19711,7039,13658,51.5,845,2202,38.4,4788,5796,82.6,966,3085,4051,15806,3265,315,4244,54.6,60.8
Reggie Miller,"1,389",47620,25279,8241,17499,47.1,2560,6486,39.5,6237,7026,88.8,883,3299,4182,4141,1505,299,2409,54.4,61.4
Tim Duncan,"1,392",47367,26496,10285,20334,50.6,30,168,17.9,5896,8468,69.6,3859,11232,15091,4225,1025,3020,3381,50.7,55.1
Gary Payton,"1,335",47117,21813,8708,18698,46.6,1132,3570,31.7,3265,4480,72.9,1392,3877,5269,8966,2445,285,3030,49.6,52.8
John Havlicek,"1,270",46471,26395,10513,23930,43.9,-,-,-,5369,6589,81.5,610,1389,8007,6114,476,117,204,43.9,49.2
Vince Carter,"1,541",46370,25728,9293,21339,43.5,2290,6168,37.1,4852,6082,79.8,1658,4948,6606,4714,1530,888,2590,48.9,53.6
Ray Allen,"1,300",46350,24505,8567,18955,45.2,2973,7429,40,4398,4920,89.4,1230,4042,5272,4361,1451,244,2709,53,58
Paul Pierce,"1,343",45879,26397,8668,19465,44.5,2143,5816,36.8,6918,8578,80.6,1092,6435,7527,4708,1752,745,3532,50,56.8
Robert Parish,"1,611",45704,23334,9614,17914,53.7,0,6,0,4106,5694,72.1,4598,10117,14715,2180,1219,2361,3183,53.7,57.1
Moses Malone,"1,329",45071,27409,9435,19225,49.1,8,80,10,8531,11090,76.9,6731,9481,16212,1796,1089,1733,3804,49.1,56.9
Joe Johnson,"1,276",44233,20405,7822,17719,44.1,1978,5331,37.1,2783,3468,80.2,1067,3992,5059,5001,1071,260,2451,49.7,53
Hakeem Olajuwon,"1,238",44218,26946,10749,20991,51.2,25,124,20.2,5423,7621,71.2,4034,9714,13748,3058,2162,3830,3667,51.3,55.3
Oscar Robertson,"1,040",43886,26710,9508,19620,48.5,-,-,-,7694,9185,83.8,71,208,7804,9887,77,4,-,48.5,56.4
Clifford Robinson,"1,380",42560,19591,7389,16875,43.8,1253,3515,35.6,3560,5165,68.9,1852,4454,6306,3094,1402,1390,2502,47.5,51.2
Buck Williams,"1,307",42470,16784,6404,11661,54.9,5,30,16.7,3971,5979,66.4,4526,8491,13017,1646,1080,1100,2784,54.9,58.7
Jason Terry,"1,410",42034,18881,6914,15585,44.4,2282,6010,38,2771,3278,84.5,502,2772,3274,5415,1603,275,2415,51.7,55.4
Shaquille O'Neal,"1,207",41917,28596,11330,19457,58.2,1,22,4.5,5935,11252,52.7,4209,8890,13099,3026,739,2732,3310,58.2,58.6
Carmelo Anthony,"1,191",41720,27370,9800,21920,44.7,1582,4476,35.3,6188,7605,81.4,1921,5599,7520,3354,1176,592,2993,48.3,54.2
Scottie Pippen,"1,178",41068,18940,7420,15700,47.3,978,3002,32.6,3122,4437,70.4,2068,5426,7494,6135,2307,947,3257,50.4,53.6
Michael Jordan,"1,072",41010,32292,12192,24537,49.7,581,1778,32.7,7327,8772,83.5,1668,5004,6672,5633,2514,893,2924,50.9,56.9
Pau Gasol,"1,226",41001,20894,7980,15729,50.7,179,486,36.8,4755,6311,75.3,3085,8220,11305,3925,606,1941,2638,51.3,56.5
Bill Russell,963,40726,14522,5687,12930,44,-,-,-,3148,5614,56.1,-,-,21620,4100,-,-,-,44,47.1
Patrick Ewing,"1,183",40594,24815,9702,19241,50.4,19,125,15.2,5392,7289,74,2752,8855,11607,2215,1136,2894,3537,50.5,55.3
Charles Oakley,"1,282",40278,12417,4835,10263,47.1,68,269,25.3,2679,3522,76.1,3924,8281,12205,3217,1351,384,2785,47.4,52.6
Andre Miller,"1,304",40268,16278,6035,13104,46.1,193,888,21.7,4015,4975,80.7,1373,3422,4795,8524,1546,227,3121,46.8,53.2
Shawn Marion,"1,163",40097,17700,7289,15056,48.4,791,2390,33.1,2331,2877,81,2732,7369,10101,2198,1759,1233,1750,51,54.2
Otis Thorpe,"1,257",39824,17599,6872,12593,54.6,3,64,4.7,3852,5610,68.7,3446,6924,10370,2730,840,501,2774,54.6,58.4
Hal Greer,"1,122",39788,21586,8504,18811,45.2,-,-,-,4578,5717,80.1,-,-,5665,4540,-,-,-,45.2,50.6
Charles Barkley,"1,073",39331,23757,8435,15605,54.1,538,2020,26.6,6349,8643,73.5,4260,8286,12546,4215,1648,888,3376,55.8,61.2
Mark Jackson,"1,296",39117,12489,4793,10731,44.7,734,2213,33.2,2169,2818,77,1281,3682,4963,10334,1608,117,3155,48.1,52.2
Jamal Crawford,"1,327",38994,19419,6752,16467,41,2221,6379,34.8,3694,4286,86.2,466,2482,2948,4541,1179,271,2476,47.7,52.9
Walt Bellamy,"1,043",38940,20941,7914,15340,51.6,-,-,-,5113,8088,63.2,264,481,14241,2544,52,48,-,51.6,55.4
Andre Iguodala,"1,192",38793,13827,4975,10734,46.3,1063,3195,33.3,2814,3971,70.9,1094,4836,5930,5014,1734,608,2203,51.3,55.4
Horace Grant,"1,165",38625,12996,5439,10695,50.9,4,63,6.3,2114,3053,69.2,3467,5976,9443,2575,1143,1136,1303,50.9,54
Dwight Howard,"1,182",38487,19113,6917,11797,58.6,14,88,15.9,5265,9309,56.6,4033,10238,14271,1641,1047,2192,3255,58.7,60.1
Kevin Willis,"1,424",38360,17253,7095,14572,48.7,40,190,21.1,3023,4238,71.3,4132,7769,11901,1328,958,751,2520,48.8,52.5
Tony Parker,"1,254",38279,19473,7777,15830,49.1,519,1603,32.4,3400,4525,75.1,441,2955,3396,7036,1053,98,2865,50.8,54.6
Dominique Wilkins,"1,074",38115,26668,9963,21589,46.1,711,2231,31.9,6031,7438,81.1,2950,4219,7169,2677,1378,642,2669,47.8,53.6
Steve Nash,"1,217",38073,17387,6321,12892,49,1685,3939,42.8,3060,3384,90.4,643,2999,3642,10335,899,102,3478,55.6,60.5
Lenny Wilkens,"1,077",38064,17772,6189,14327,43.2,-,-,-,5394,6973,77.4,118,279,5030,7211,174,26,-,43.2,51.1
Alex English,"1,193",38063,25613,10659,21036,50.7,18,83,21.7,4277,5141,83.2,2778,3760,6538,4351,1067,833,2821,50.7,55
