,All Negative,SharpShooters,Big Men without Creation,Not sure,TOV + STL,labels
0,-0.216261208,-0.131793857,-0.185015962,-0.933452904,-1.908771753,6
1,0.215714961,-0.066982508,-0.213040903,-0.67400074,-2.112584114,6
2,-0.443104625,-0.008216023,-0.181499273,0.246879175,-1.718290567,6
3,0.099279881,0.237035543,0.107862413,-0.524978042,-1.499691486,6
4,0.179679304,0.67991209,0.01700595,0.634522736,-1.268671751,6
5,-0.054662593,-0.001670599,-0.167084277,0.327515364,-2.000527859,6
6,-0.274993062,0.272096753,-0.397394717,-0.737960219,-1.128362179,6
7,-0.043294497,0.033572018,-0.455445856,0.411631048,-1.755137444,6
8,-0.599980593,-0.287869453,-0.860520363,-0.800740123,-0.878245354,1
9,0.739556253,0.071000934,-0.015990376,0.340057433,-1.285714149,6
10,-0.342968285,-0.167478085,-0.179830506,0.770024955,-1.278887749,6
11,-0.074883372,0.170617878,0.167207599,-0.805871785,-1.489876032,6
12,0.213245511,0.333364695,-0.158839792,0.298437417,-1.075146675,6
13,-0.099492379,-0.00283736,-0.948609471,-0.367963552,-0.665602684,1
14,-0.347488493,0.277032882,-0.200367287,0.554819345,-1.329765558,6
15,-0.400411189,0.020211935,-0.107998855,0.930944026,-1.236860275,6
16,-0.20447588,0.093354702,-0.153389603,0.506270826,-1.465483665,6
17,-0.092269845,0.160733044,0.316171676,-0.815985024,-1.316749334,6
18,-0.013779044,-0.005930305,0.057067066,-0.845802546,-1.555372,6
19,-0.245369375,0.229571313,-0.136723489,0.583247244,-0.883761048,2
20,0.108203262,0.176960349,0.288471788,-0.742717206,-1.491735458,6
21,-0.070089348,-0.442450821,-0.965645075,-0.340019077,-0.649191737,1
22,-0.170569733,0.386829138,-0.037561804,0.134713605,-0.903465033,6
23,-0.051079676,0.043782234,0.413281292,-0.652587652,-0.915669799,6
24,-0.197644949,0.185567886,-0.07971321,0.796361029,-0.878602386,2
25,-0.204540461,-0.118267119,0.238800496,-0.972537398,-1.404430628,6
26,-0.192168683,0.032282829,-0.264672905,0.281049848,-1.236136913,6
27,0.158742577,0.310970783,0.121860921,0.127348229,-0.955381989,6
28,0.279029131,-0.207853436,-0.355941534,-0.049858272,-1.373909712,6
29,-0.04262054,0.002797008,0.165966362,-0.459828734,-0.988037109,6
30,-0.435407579,0.28004837,-0.598973155,-0.553053498,-0.09170568,1
31,0.027453154,0.039064586,0.135566354,-0.644176304,-1.19610095,6
32,0.149046928,0.34346658,0.262984008,-0.369180083,-0.655024767,0
33,0.407671988,0.173398405,-0.195305675,-0.035902992,-0.688026309,6
34,-0.09011887,0.185899615,0.212974995,-0.035628125,-0.77648437,6
35,5.79E-05,-0.050173342,0.210956872,-0.554955065,-0.777900577,0
36,-0.14765209,-0.11835289,-0.821907759,-0.29162997,-0.284829497,1
37,0.029871792,-0.17943126,0.254429609,-0.31058082,-1.267989874,6
